Date Issued,Number of Invitations,Date Profiles Created,Score Range,Notes,Year
16-Jun-21,569,"April 28, 2021 - June 16, 2021",38 and above,General draw,2021
07-Dec-21,470,"April 28, 2021 - December 7, 2021",37 and above,General Draw,2021
07-Dec-21,33,"April 28, 2021 - December 7, 2021",,Targeted draw for Regional Immigration Pilot candidates,2021
20-Oct-21,4,"April 28, 2021 - October 20, 2021",,Targeted draw for Economic Mobility Pathways Project candidates,2021
21-Sep-21,406,"April 28, 2021 - September 21, 2021",37 and above,General Draw,2021
21-Sep-21,36,"April 28, 2021 - September 21, 2021",,Targeted draw for Regional Immigration Pilot candidates,2021
06-Aug-21,1,"April 28, 2021 - August 6, 2021",,Targeted draw for Economic Mobility Pathways Project candidates,2021
13-Jul-21,24,"April 28, 2021 - July 13, 2021",,Targeted draw for Regional Immigration Pilot candidates,2021
13-Jul-21,1211,"April 28, 2021 - July 13, 2021",33 and above,General draw,2021
25-May-21,64,"April 28, 2021 - May 25, 2021",,Targeted draw for Regional Immigration Pilot candidates,2021
11-May-21,81,"April 28, 2021 - May 11, 2021",31 and above,Targeted draw in health and skilled trades occupations,2021
11-Jan-22,264,"April 28, 2021 - January 11, 2022",38 and above,General Draw,2022
27-Sep-22,3,"September 27, 2021 - September 27, 2022",,Targeted draw for Economic Mobility Pathways Project candidates,2022
30-Aug-22,1,"August 30, 2021 - August 30, 2022",,Targeted draw for Economic Mobility Pathways Project candidates,2022
27-Jul-22,2,"July 27, 2021 - July 27, 2022",,Targeted draw for Economic Mobility Pathways Project candidates,2022
29-Jun-22,2,"June 29, 2021 - June 29, 2022",,Targeted draw for Economic Mobility Pathways Project candidates,2022
30-Mar-22,155,"April 28, 2021 - March 30, 2022",23 and above,Targeted draw for skilled trades occupations,2022
01-Mar-22,456,"April 28, 2021 - March 1, 2022",39 and above,General Draw,2022
22-Feb-22,8,"October 22, 2021 - February 22, 2022",,Targeted draw for Economic Mobility Pathways Project candidates,2022
09-Feb-22,476,"April 28, 2021 - February 9, 2022",24 and above,Targeted draw for skilled trades occupations,2022
25-Oct-22,1,"October 25, 2021 - October 25, 2022",,Targeted draw for Economic Mobility Pathways Project candidates,2022
09-Feb-22,166,"April 28, 2021 - February 9, 2022",41 and above,General Draw,2022
31-Jan-23,611,"November 22, 2022 - January 31, 2023",53 and above,Targeted draw for tech and health occupations,2023
10-Jan-23,2,"November 22, 2022 - January 10, 2023",,Targeted draw for Economic Mobility Pathways Project candidates,2023
10-Jan-23,402,"November 22, 2022 - January 10, 2023",35 and above,Targeted draw for skilled trades occupations,2023
24-Jan-23,2,"November 22, 2022 - January 24, 2023",,Targeted draw for Economic Mobility Pathways Project candidates,2023
10-Feb-23,1,"November 22, 2022 - February 10, 2023",,Targeted draw for Economic Mobility Pathways Project candidates,2023
14-Mar-23,2,"November 22, 2022 - March 14, 2023",,Targeted draw for Economic Mobility Pathways Project candidates,2023
10-Feb-23,304,"November 22, 2022 - February 10, 2023",30 and above,Targeted draw for tech and health occupations,2023
05-Dec-23,761,"December 5, 2022 - December 5, 2023",34 and above,Targeted draw for skilled trades occupations,2023
05-Dec-23,1663,"December 5, 2022 - December 5, 2023",43 and above,Targeted draw for health and tech occupations,2023
05-Dec-23,13,"December 5, 2022 - December 5, 2023",,Targeted draw for Economic Mobility Pathways Project candidates,2023
15-Aug-23,1131,"November 22, 2022 - August 15, 2023",46 and above,Targeted draw for health and tech occupations,2023
15-Aug-23,375,"November 22, 2022 - August 15, 2023",30 and above,Targeted draw for skilled trades occupations,2023
20-Jun-23,426,"November 22, 2022 - June 20, 2023",36 and above,Targeted draw for skilled trades occupations,2023
20-Jun-23,318,"November 22, 2022 - June 20, 2023",33 and above,Targeted draw for health occupations,2023
06-Jun-23,451,"November 22, 2022 - June 6, 2023",57 and above,Targeted draw for skilled trades occupations,2023
09-May-23,400,"November 22, 2022 - May 9, 2023",43 and above,Targeted draw for skilled trades occupations,2023
04-Apr-23,6,"November 22, 2022 - April 4, 2023",,Targeted draw for Economic Mobility Pathways Project candidates,2023
01-Aug-23,1,"November 22, 2022 - August 1, 2023",,Targeted draw for Economic Mobility Pathways Project candidates,2023
17-Jun-24,106,"June 17, 2023 - June 17, 2024",39 and above,Targeted draw for Early childhood educators and assistants candidates,2024
13-Aug-24,420,"August 13, 2023 - August 13, 2024",50 and above,Targeted draw for health occupations,2024
13-Aug-24,958,"August 13, 2023 - August 13, 2024",54 and above,Targeted draw for other priority occupations,2024
16-Jul-24,5,"July 16, 2023 - July 16, 2024",,Targeted draw for Economic Mobility Pathways Project candidates,2024
11-Jun-24,124,"June 11, 2023 - June 11, 2024",43 and above,Targeted draw for Early childhood educators and assistants candidates,2024
09-Jan-24,821,"January 9, 2023 - January 9, 2024",40 and above,Targeted draw for health and tech occupations,2024
23-Apr-24,2,"April 23, 2023 - April 23, 2024",,Targeted draw for Economic Mobility Pathways Project candidates,2024
12-Mar-24,11,"March 12, 2023 - March 12, 2024",,Targeted draw for Economic Mobility Pathways Project candidates,2024
24-Jan-24,12,"January 24, 2023 - January 24, 2024",,Targeted draw for Economic Mobility Pathways Project candidates,2024
19-Jan-24,1654,"January 19, 2023 - January 19, 2024",50 and above,General Draw,2024
09-Jan-24,630,"January 9, 2023 - January 9, 2024",33 and above,Targeted draw for skilled trades occupations,2024
23-Apr-24,209,"April 23, 2023 - April 23, 2024",53 and above,Targeted draw for skilled trades occupations,2024
10-Sep-24,15,"September 10, 2023 - September 10, 2024",,Targeted draw for Economic Mobility Pathways Project candidates,2024
