Date Issued,Number of Invitations,Date Profiles Created,Score Range,Notes,Year
15-Jul-21,1,"April 28, 2021 - July 15, 2021",,Targeted draw for Regional Immigration Pilot candidates,2021
07-Dec-21,53,"April 28, 2021 - December 7, 2021",20 and above,"Targeted draw for health, manufacturing and agricultural occupations",2021
07-Dec-21,10,"April 28, 2021 - December 7, 2021",,Targeted draw for Regional Immigration Pilot candidates,2021
22-Sep-21,65,"April 28, 2021 - September 22, 2021",,"Targeted draw for health, manufacturing and agricultural occupations",2021
22-Sep-21,7,"April 28, 2021 - September 22, 2021",,Targeted draw for Regional Immigration Pilot candidates,2021
11-Aug-21,48,"April 28, 2021 - August 11, 2021",,"Targeted draw for health, manufacturing and agricultural occupations",2021
15-Jul-21,54,"April 28, 2021 - July 15, 2021",,"Targeted draw for health, manufacturing and agricultural occupations",2021
29-Jun-22,293,"June 29, 2021 - June 29, 2022",24 and above,General draw,2022
04-May-22,57,"May 4, 2021 - May 4, 2022",27 and above,General draw,2022
30-Mar-22,65,"April 28, 2021 - March 30, 2022",21 and above,"Targeted draw for health, manufacturing, agricultural occupations and select trades occupations",2022
09-Feb-22,107,"April 28, 2021 - February 9, 2022",15 and above,"Targeted draw for health, manufacturing, agricultural and select trades occupations",2022
11-Jan-22,58,"April 28, 2021 - January 11, 2022",11 and above,"Targeted draw for health, manufacturing and agricultural occupations",2022
15-Aug-23,256,"November 22, 2022 - August 15, 2023",23 and above,General Draw,2023
05-Dec-23,262,"November 22, 2022 - August 15, 2023",30 and above,General Draw,2023
11-Apr-23,295,"November 22, 2022 - April 11, 2023",30 and above,General Draw,2023
20-Jun-23,256,"November 22, 2022 - June 20, 2023",26 and above,General Draw,2023
16-Jul-24,265,"July 16, 2023 - July 16, 2024",35 and above,General Draw,2024
10-Sep-24,649,"September 10, 2023 - September 10, 2024",34 and above,General Draw,2024
