Date Issued,Number of Invitations,Date Profiles Created,Score Range,Notes,Year
20-Oct-21,479,"April 28, 2021 - October 20, 2021",35 and above,General draw,2021
14-Sep-21,627,"April 28, 2021 - September 14, 2021",35 and above,General draw,2021
25-Aug-21,326,"April 28, 2021 - August 25, 2021",37 and above,General draw,2021
18-Aug-21,402,"April 28, 2021 - August 18, 2021",39 and above,General draw,2021
20-Sep-22,823,"September 20, 2021 - September 20, 2022",33 and above,General draw,2022
21-Dec-22,725,"November 22, 2021 - December 21, 2022",46 and above,General draw,2022
25-Oct-22,535,"October 25, 2021 - October 25, 2022",35 and above,General draw,2022
30-Aug-22,680,"August 30, 2021 - August 30, 2022",37 and above,General draw,2022
01-Jun-22,491,"June 1, 2021 - June 1, 2022",38 and above,General draw,2022
30-Mar-22,398,"April 28, 2021 - March 30, 2022",39 and above,General draw,2022
01-Mar-22,238,"April 28, 2021 - March 1, 2022",41 and above,General draw,2022
06-Jun-23,1175,"November 22, 2022 - June 6, 2023",46 and above,General Draw,2023
01-Aug-23,755,"November 22, 2022 - August 1, 2023",48 and above,General Draw,2023
30-Aug-23,772,"November 22, 2022 - August 30, 2023",44 and above,General Draw,2023
19-Sep-23,537,"November 22, 2022 - September 19, 2023",41 and above,General Draw,2023
25-Jan-23,692,"November 22, 2022 - January 25, 2023",44 and above,General Draw,2023
04-Apr-23,752,"November 22, 2022 - April 4, 2023",52 and above,General Draw,2023
30-Oct-23,1051,"November 22, 2022 - October 30, 2023",43 and above,General Draw,2023
24-Jan-24,1344,"January 24, 2023 - January 24, 2024",50 and above,General Draw,2024
19-Mar-24,1370,"March 19, 2023 - March 19, 2024",52 and above,General Draw,2024
09-Jul-24,1556,"July 9, 2023 - July 9, 2024",54 and above,General Draw,2024
17-Sep-24,1249,"September 17, 2023 - September 17, 2024",53 and above,General Draw,2024
