Date Issued,Number of Invitations,Date Profiles Created,Score Range,Notes
"December 5, 2023",761,"December 5, 2022 – December 5, 2023",34 and above,Targeted draw for skilled trades occupations
"December 5, 2023",1663,"December 5, 2022 – December 5, 2023",43 and above,Targeted draw for health and tech occupations
"December 5, 2023",13,"December 5, 2022 – December 5, 2023",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"August 15, 2023",375,"November 22, 2022 – August 15, 2023",30 and above,Targeted draw for skilled trades occupations
"August 15, 2023",1131,"November 22, 2022 – August 15, 2023",46 and above,Targeted draw for health and tech occupations
"August 1, 2023",1,"November 22, 2022 – August 1, 2023",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"June 20, 2023",426,"November 22, 2022 – June 20, 2023",36 and above,Targeted draw for skilled trades occupations
"June 20, 2023",318,"November 22, 2022 – June 20, 2023",33 and above,Targeted draw for health occupations
"June 6, 2023",451,"November 22, 2022 – June 6, 2023",57 and above,Targeted draw for skilled trades occupations
"May 9, 2023",400,"November 22, 2022 – May 9, 2023",43 and above,Targeted draw for skilled trades occupations
"April 4, 2023",6,"November 22, 2022 – April 4, 2023",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"March 14, 2023",2,"November 22, 2022 – March 14, 2023",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"February 10, 2023",304,"November 22, 2022 - February 10, 2023",30 and above,Targeted draw for tech and health occupations
"February 10, 2023",1,"November 22, 2022 - February 10, 2023",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"January 31, 2023",611,"November 22, 2022 - January 31, 2023",53 and above,Targeted draw for tech and health occupations
"January 24, 2023",2,"November 22, 2022 - January 24, 2023",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"January 10, 2023",402,"November 22, 2022 – January 10, 2023",35 and above,Targeted draw for skilled trades occupations
"January 10, 2023",2,"November 22, 2022 – January 10, 2023",N/A,Targeted draw for Economic Mobility Pathways Project candidates
