Date Issued,Number of Invitations,Date Profiles Created,Score Range,Notes
"September 10, 2024",15,"September 10, 2023 - September 10, 2024",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"August 13, 2024",420,"August 13, 2023 - August 13, 2024",50 and above,Targeted draw for health occupations
"August 13, 2024",958,"August 13, 2023 - August 13, 2024",54 and above,Targeted draw for other priority occupations
"July 16, 2024",5,"July 16, 2023 - July 16, 2024",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"June 17, 2024",106,"June 17, 2023 - June 17, 2024",39 and above,Targeted draw for Early childhood educators and assistants candidates
"June 11, 2024",124,"June 11, 2023 - June 11, 2024",43 and above,Targeted draw for Early childhood educators and assistants candidates
"April 23, 2024",209,"April 23, 2023 - April 23, 2024",53 and above,Targeted draw for skilled trades occupations
"April 23, 2024",2,"April 23, 2023 - April 23, 2024",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"March 12, 2024",11,"March 12, 2023 - March 12, 2024",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"January 24, 2024",12,"January 24, 2023 - January 24, 2024",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"January 19, 2024",1654,"January 19, 2023 - January 19, 2024",50 and above,General Draw
"January 9, 2024",630,"January 9, 2023 - January 9, 2024",33 and above,Targeted draw for skilled trades occupations
"January 9, 2024",821,"January 9, 2023 - January 9, 2024",40 and above,Targeted draw for health and tech occupations
