Date Issued,Number of Invitations,Date Profiles Created,Score Range,Notes
"December 7, 2021",470,"April 28, 2021 – December 7, 2021",37 and above,General Draw
"December 7, 2021",33,"April 28, 2021 – December 7, 2021",N/A,Targeted draw for Regional Immigration Pilot candidates
"October 20, 2021",4,"April 28, 2021 – October 20, 2021",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"September 21, 2021",406,"April 28, 2021 – September 21, 2021",37 and above,General Draw
"September 21, 2021",36,"April 28, 2021 – September 21, 2021",N/A,Targeted draw for Regional Immigration Pilot candidates
"August 6, 2021",1,"April 28, 2021 – August 6, 2021",N/A,Targeted draw for Economic Mobility Pathways Project candidates
"July 13, 2021",24,"April 28, 2021 – July 13, 2021",N/A,Targeted draw for Regional Immigration Pilot candidates
"July 13, 2021",1211,"April 28, 2021 – July 13, 2021",33 and above,General draw
"June 16, 2021",569,"April 28, 2021 – June 16, 2021",38 and above,General draw
"May 25, 2021",64,"April 28, 2021 – May 25, 2021",N/A,Targeted draw for Regional Immigration Pilot candidates
"May 11, 2021",81,"April 28, 2021 – May 11, 2021",31 and above,Targeted draw in health and skilled trades occupations
