Date Issued,Number of Invitations,Date Profiles Created,Score Range,Notes
"December 7, 2021",583,"April 28, 2021 – December 7, 2021",62 and above,General Draw
"December 7, 2021",37,"April 28, 2021 – December 7, 2021",N/A,Targeted draw for Regional Immigration Pilot candidates
"September 21, 2021",523,"April 28, 2021 – September 21, 2021",61 and above,General Draw
"September 21, 2021",30,"April 28, 2021 – September 21, 2021",N/A,Targeted draw for Regional Immigration Pilot candidates
"July 13, 2021",19,"April 28, 2021 – July 13, 2021",N/A,Targeted draw for Regional Immigration Pilot candidates
"July 13, 2021",431,"April 28, 2021 – July 13, 2021",62 and above,General draw
"June 16, 2021",371,"April 28, 2021 – June 16, 2021",66 and above,General draw
"May 26, 2021",147,"April 28, 2021 – May 26, 2021",73 and above,General draw
"May 26, 2021",11,"April 28, 2021 – May 26, 2021",N/A,Targeted draw for Regional Immigration Pilot candidates
"May 18, 2021",138,"April 28, 2021 – May 18, 2021",77 and above,General draw
